name,lat,lon
node_1,48.00547608857569,7.837480568907807
node_2,48.0068996,7.83578522067512
node_3,48.0065629,7.836113063601374
node_4,48.00496135,7.833814294591008
node_5,48.00436995,7.83481488263938
node_6,48.00417825,7.838041686758783
node_7,48.003851100000006,7.83564848840959
node_8,48.0044311,7.841216901119097
node_9,48.00375245,7.840697801577289
node_10,48.00406885,7.836063589250319
node_11,48.004562848056956,7.838027291949832
node_12,48.006253117370036,7.839771370845976
node_13,48.0073439,7.8378103
node_14,48.007948364897224,7.8363526940239545
node_15,48.0082822,7.836595924294792
